City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
120,Gold Coast,-28.0,153.4333,73.0,68,40,8.05,AU,2021-02-08 20:27:38
121,Yuzhou,34.1628,113.4639,32.0,59,0,2.24,CN,2021-02-08 20:27:42
122,Opuwo,-18.0607,13.84,72.12,45,100,9.31,NA,2021-02-08 20:27:42
123,Sitka,57.0531,-135.33,24.8,58,90,13.8,US,2021-02-08 20:27:42
124,Buala,-8.145,159.5921,80.31,80,97,9.26,SB,2021-02-08 20:27:43
125,Vaini,-21.2,-175.2,78.8,94,90,10.36,TO,2021-02-08 20:27:12
126,Naron,43.5167,-8.1528,53.01,87,40,4.61,ES,2021-02-08 20:27:43
127,Takoradi,4.8845,-1.7554,80.49,85,28,10.09,GH,2021-02-08 20:27:43
128,College,64.8569,-147.8028,-13.0,82,1,4.45,US,2021-02-08 20:27:43
129,Colombia,20.9881,-77.4297,86.0,51,20,16.11,CU,2021-02-08 20:27:43
130,Tomigusuku,26.185,127.675,60.8,63,75,13.8,JP,2021-02-08 20:27:43
131,Khatanga,71.9667,102.5,-19.21,82,0,14.05,RU,2021-02-08 20:27:13
132,Totma,59.9747,42.7642,0.86,93,100,6.73,RU,2021-02-08 20:27:43
133,Palora,-1.7,-77.9333,73.4,78,75,3.44,EC,2021-02-08 20:27:43
134,Auki,-8.7676,160.7034,79.77,81,85,6.2,SB,2021-02-08 20:27:43
135,Alenquer,-1.9417,-54.7383,87.8,66,20,5.75,BR,2021-02-08 20:27:43
136,Bubaque,11.2833,-15.8333,77.63,75,18,13.11,GW,2021-02-08 20:27:43
137,Koumac,-20.5667,164.2833,78.24,74,0,3.65,NC,2021-02-08 20:27:44
138,Kudahuvadhoo,2.6708,72.8944,81.95,81,62,19.53,MV,2021-02-08 20:27:44
139,Erzurum,40.0,41.5,37.4,75,75,14.97,TR,2021-02-08 20:27:44
140,Faanui,-16.4833,-151.75,81.25,77,6,13.38,PF,2021-02-08 20:27:44
141,Lyngdal,58.1376,7.07,26.01,72,53,7.0,NO,2021-02-08 20:27:44
142,Kodiak,57.79,-152.4072,32.0,69,1,13.8,US,2021-02-08 20:23:57
143,Lodja,-3.4833,23.4333,74.89,64,100,0.87,CD,2021-02-08 20:27:44
144,Mantua,45.1667,10.7833,48.99,80,6,3.0,IT,2021-02-08 20:27:44
145,Bizhbulyak,53.6967,54.2642,-21.8,86,94,11.68,RU,2021-02-08 20:27:44
146,Vostok,46.4856,135.8833,-11.06,90,100,6.04,RU,2021-02-08 20:27:44
147,Ransang,8.9603,117.5828,77.86,82,100,3.36,PH,2021-02-08 20:27:45
148,Rock Sound,24.9,-76.2,76.23,82,0,9.31,BS,2021-02-08 20:27:45
149,Esperance,-33.8667,121.9,60.8,94,90,2.3,AU,2021-02-08 20:27:45
150,Denpasar,-8.65,115.2167,77.0,94,40,5.75,ID,2021-02-08 20:27:45
151,Kanigiri,15.4,79.5167,66.72,83,0,1.74,IN,2021-02-08 20:26:30
152,Sechura,-5.5569,-80.8222,86.5,46,15,14.38,PE,2021-02-08 20:27:45
153,Kavieng,-2.5744,150.7967,82.58,77,83,8.7,PG,2021-02-08 20:27:45
154,Gondar,12.6,37.4667,53.02,43,16,5.08,ET,2021-02-08 20:26:12
155,Port Blair,11.6667,92.75,75.54,77,54,13.18,IN,2021-02-08 20:27:46
156,Longyearbyen,78.2186,15.6401,14.0,57,0,16.11,SJ,2021-02-08 20:26:37
157,Te Anau,-45.4167,167.7167,57.67,93,100,3.42,NZ,2021-02-08 20:27:46
158,Merauke,-8.4667,140.3333,79.68,84,98,7.36,ID,2021-02-08 20:27:25
159,Tanda,26.55,82.65,53.49,70,0,5.59,IN,2021-02-08 20:27:46
160,Namibe,-15.1961,12.1522,72.52,77,96,8.12,AO,2021-02-08 20:27:46
161,Meulaboh,4.1363,96.1285,76.66,89,0,5.23,ID,2021-02-08 20:27:46
162,Mineiros,-17.5694,-52.5511,79.75,57,59,3.58,BR,2021-02-08 20:27:46
163,Chara,56.9064,118.2631,3.96,86,96,1.39,RU,2021-02-08 20:27:46
164,Los Alamos,35.8881,-106.307,59.0,11,1,18.41,US,2021-02-08 20:27:46
165,Shimoda,34.6667,138.95,28.99,43,26,9.17,JP,2021-02-08 20:27:46
166,Hailar,49.2,119.7,-4.34,91,55,5.66,CN,2021-02-08 20:27:46
167,Ostrovnoy,68.0531,39.5131,-1.82,90,87,10.47,RU,2021-02-08 20:27:31
168,La Palma,33.8464,-118.0467,63.0,55,40,9.22,US,2021-02-08 20:27:47
169,Uyskoye,54.3775,60.0047,-9.04,84,100,8.81,RU,2021-02-08 20:27:47
170,Parrita,9.5201,-84.3225,82.4,50,20,16.11,CR,2021-02-08 20:27:47
171,Talnakh,69.4865,88.3972,5.31,93,100,11.32,RU,2021-02-08 20:27:47
172,Faxinal,-24.0003,-51.3194,76.87,59,0,0.47,BR,2021-02-08 20:25:06
173,Nhulunbuy,-12.2333,136.7667,78.8,94,100,5.75,AU,2021-02-08 20:25:17
174,Skeldon,5.8833,-57.1333,81.55,68,72,11.52,GY,2021-02-08 20:27:47
175,Georgetown,5.4112,100.3354,82.0,83,20,3.44,MY,2021-02-08 20:22:56
176,Henties Bay,-22.116,14.2845,66.67,76,71,10.87,NA,2021-02-08 20:27:47
177,Guerrero Negro,27.9769,-114.0611,70.29,38,7,7.56,MX,2021-02-08 20:27:47
178,Lasa,46.6166,10.7002,42.8,79,0,3.6,IT,2021-02-08 20:27:47
179,Wajid,3.8093,43.2471,80.19,29,73,15.12,SO,2021-02-08 20:27:48
180,Khvastovichi,53.4694,35.0941,1.06,89,70,7.18,RU,2021-02-08 20:27:48
181,Narsaq,60.9167,-46.05,39.2,28,40,40.29,GL,2021-02-08 20:27:29
182,Trelew,-43.249,-65.3051,76.66,25,0,22.82,AR,2021-02-08 20:27:48
183,Sao Joao Da Barra,-21.6403,-41.0511,75.2,83,90,13.8,BR,2021-02-08 20:22:49
184,Sawang Daen Din,17.4753,103.4575,73.0,66,100,6.55,TH,2021-02-08 20:27:48
185,Oistins,13.0667,-59.5333,82.4,54,40,17.27,BB,2021-02-08 20:27:48
186,Bengkulu,-3.8004,102.2655,75.94,77,97,3.56,ID,2021-02-08 20:27:21
187,Lyubashivka,47.8372,30.2598,32.88,99,100,18.21,UA,2021-02-08 20:27:48
188,Cockburn Town,21.4612,-71.1419,82.4,65,40,13.8,TC,2021-02-08 20:25:32
189,Vaxjo,56.8777,14.8091,23.0,80,90,10.36,SE,2021-02-08 20:27:48
190,Karpogory,64.0019,44.4451,-26.63,86,1,5.23,RU,2021-02-08 20:27:48
191,Husavik,66.0449,-17.3389,28.4,86,75,3.44,IS,2021-02-08 20:27:49
192,New Waterford,40.8451,-80.6145,27.0,29,100,1.99,US,2021-02-08 20:27:49
193,Abu Dhabi,24.4667,54.3667,69.8,78,0,10.36,AE,2021-02-08 20:27:49
194,Point Pedro,9.8167,80.2333,76.77,70,1,15.1,LK,2021-02-08 20:27:49
195,Bongandanga,1.5,21.05,74.95,36,74,2.55,CD,2021-02-08 20:27:49
196,Asfi,32.2994,-9.2372,60.31,86,22,14.45,MA,2021-02-08 20:27:49
197,Vila Velha,-20.3297,-40.2925,79.0,94,90,3.44,BR,2021-02-08 20:26:47
198,Jerantut,3.936,102.3626,71.98,91,81,0.49,MY,2021-02-08 20:27:49
199,Rapid Valley,44.0625,-103.1463,6.01,71,1,8.05,US,2021-02-08 20:27:49
200,Kuybysheve,47.358,36.6491,22.87,97,100,21.54,UA,2021-02-08 20:27:49
201,Bull Savanna,17.8868,-77.5902,80.53,70,21,14.32,JM,2021-02-08 20:27:50
202,Lompoc,34.6391,-120.4579,57.0,76,40,3.67,US,2021-02-08 20:27:28
203,Zanesville,39.9404,-82.0132,37.99,43,90,4.61,US,2021-02-08 20:23:02
204,Kajaani,64.2273,27.7285,6.8,92,90,5.75,FI,2021-02-08 20:27:50
205,Sooke,48.3746,-123.7276,41.0,81,89,11.5,CA,2021-02-08 20:27:50
206,Naftalan,40.5067,46.825,41.0,93,90,6.91,AZ,2021-02-08 20:27:50
207,Balvanesti,44.7975,22.6803,40.5,96,86,4.16,RO,2021-02-08 20:27:50
208,Pasni,25.2631,63.471,67.5,66,100,12.01,PK,2021-02-08 20:27:50
209,Hazorasp,41.3194,61.0742,28.4,74,44,4.61,UZ,2021-02-08 20:27:51
210,Pato Branco,-26.2286,-52.6706,76.64,66,0,3.91,BR,2021-02-08 20:27:51
211,Arraial Do Cabo,-22.9661,-42.0278,73.4,88,75,5.75,BR,2021-02-08 20:27:37
212,Mehamn,71.0357,27.8492,24.8,86,90,19.57,NO,2021-02-08 20:27:51
213,Shaowu,27.3409,117.4831,51.87,85,100,1.63,CN,2021-02-08 20:27:51
214,Olafsvik,64.8945,-23.7142,35.38,82,91,12.53,IS,2021-02-08 20:27:51
215,Ballina,-28.8667,153.5667,73.4,60,40,13.8,AU,2021-02-08 20:27:51
216,Tocopilla,-22.092,-70.1979,72.93,61,37,5.75,CL,2021-02-08 20:27:51
217,Rovaniemi,66.5,25.7167,10.4,85,0,9.22,FI,2021-02-08 20:25:06
218,Luderitz,-26.6481,15.1594,74.34,46,0,21.14,NA,2021-02-08 20:27:51
219,Sortavala,61.7053,30.6918,5.11,94,16,6.04,RU,2021-02-08 20:27:51
220,Sorland,67.667,12.6934,33.8,93,75,20.71,NO,2021-02-08 20:27:52
221,Riyadh,24.6877,46.7219,57.2,58,0,8.05,SA,2021-02-08 20:26:50
222,Oriximina,-1.7656,-55.8661,90.16,51,100,2.86,BR,2021-02-08 20:24:07
223,Arona,28.0996,-16.681,66.2,68,75,5.75,ES,2021-02-08 20:27:52
224,Ust-Karsk,52.7011,118.8077,-5.28,88,72,2.04,RU,2021-02-08 20:27:52
225,Jieznas,54.6,24.1667,14.0,67,0,12.66,LT,2021-02-08 20:27:52
226,Dingle,10.9995,122.6711,74.3,95,100,7.54,PH,2021-02-08 20:27:52
227,Ulaangom,49.9811,92.0667,-2.87,89,100,2.95,MN,2021-02-08 20:27:52
228,Caravelas,-17.7125,-39.2481,72.61,97,100,2.86,BR,2021-02-08 20:27:52
229,Chuy,-33.6971,-53.4616,70.32,87,81,5.23,UY,2021-02-08 20:27:20
230,Conde,-7.2597,-34.9075,84.2,70,20,12.66,BR,2021-02-08 20:27:52
231,Geraldton,-28.7667,114.6,62.6,94,40,5.75,AU,2021-02-08 20:27:52
232,Perisoru,44.45,27.55,59.0,57,91,4.0,RO,2021-02-08 20:27:52
233,Kutulik,53.3508,102.7839,13.01,94,98,11.16,RU,2021-02-08 20:27:52
234,Tiksi,71.6872,128.8694,-25.49,87,100,5.82,RU,2021-02-08 20:27:42
235,Puerto Maldonado,-12.6,-69.1833,75.2,94,75,4.61,PE,2021-02-08 20:27:53
236,Margate,51.3813,1.3862,30.0,72,100,1.99,GB,2021-02-08 20:24:16
237,Doha,25.2867,51.5333,66.2,72,0,11.5,QA,2021-02-08 20:27:53
238,San Policarpo,12.1791,125.5072,77.67,89,100,22.3,PH,2021-02-08 20:27:53
239,Nikolskoye,59.7035,30.7861,5.0,78,0,2.24,RU,2021-02-08 20:27:53
240,Aklavik,68.2191,-135.0107,-36.4,67,100,3.44,CA,2021-02-08 20:27:53
241,Fort Frances,48.5999,-93.4003,-7.01,45,1,14.97,CA,2021-02-08 20:26:58
242,Grudziadz,53.4841,18.7537,17.01,87,100,4.0,PL,2021-02-08 20:27:53
243,Talcahuano,-36.7167,-73.1167,66.2,72,40,12.66,CL,2021-02-08 20:27:53
244,Sao Filipe,14.8961,-24.4956,70.36,75,100,12.97,CV,2021-02-08 20:27:53
245,Farah,32.5,62.5,50.88,46,0,3.0,AF,2021-02-08 20:27:54
246,Borda Da Mata,-22.2742,-46.1653,64.99,82,75,3.47,BR,2021-02-08 20:27:54
247,Beloha,-25.1667,45.05,78.69,77,100,4.72,MG,2021-02-08 20:27:54
248,Udaipura,23.0833,78.5,54.16,40,0,0.96,IN,2021-02-08 20:24:14
249,Vila Praia De Ancora,41.811,-8.8526,53.01,93,75,11.5,PT,2021-02-08 20:27:54
250,Fortuna,40.5982,-124.1573,54.0,81,1,3.78,US,2021-02-08 20:27:54
251,Tabas,33.5959,56.9244,51.8,54,0,6.91,IR,2021-02-08 20:27:54
252,Inongo,-1.95,18.2667,79.39,70,100,3.11,CD,2021-02-08 20:27:54
253,Port Moresby,-9.4431,147.1797,75.2,100,40,6.91,PG,2021-02-08 20:26:05
254,Upernavik,72.7868,-56.1549,15.98,77,0,2.62,GL,2021-02-08 20:27:55
255,Kade,52.3833,12.2667,18.0,66,100,6.02,DE,2021-02-08 20:27:55
256,Umm Kaddadah,13.6017,26.6876,66.36,24,25,12.75,SD,2021-02-08 20:27:55
257,Canutama,-6.5339,-64.3831,92.43,50,99,3.4,BR,2021-02-08 20:27:55
258,Bud,39.447,-86.1758,26.01,69,97,3.06,US,2021-02-08 20:27:55
259,Tiznit,29.5833,-9.5,53.17,82,32,5.3,MA,2021-02-08 20:27:55
260,Antananarivo,-18.9137,47.5361,68.0,83,75,3.44,MG,2021-02-08 20:25:22
261,Inyonga,-6.7167,32.0667,67.05,92,100,3.8,TZ,2021-02-08 20:27:55
262,Arman,59.7,150.1667,5.54,86,100,15.77,RU,2021-02-08 20:27:55
263,Lazi,48.0667,24.2333,41.43,86,100,2.64,UA,2021-02-08 20:27:55
264,Bloomfield,40.8068,-74.1854,30.99,29,1,5.75,US,2021-02-08 20:27:55
265,Niquelandia,-14.4739,-48.4597,72.28,84,92,2.75,BR,2021-02-08 20:27:56
266,Almaznyy,48.0448,40.045,17.6,86,75,22.37,RU,2021-02-08 20:27:56
267,Dawlatabad,36.4141,64.9053,54.23,62,85,2.24,AF,2021-02-08 20:27:56
268,Inhambane,-23.865,35.3833,75.0,100,75,5.75,MZ,2021-02-08 20:27:56
269,Kargasok,59.0556,80.8572,9.75,96,100,12.64,RU,2021-02-08 20:27:56
270,Hobyo,5.3505,48.5268,77.54,74,64,21.21,SO,2021-02-08 20:27:56
271,La Ronge,55.1001,-105.2842,-20.2,57,100,16.11,CA,2021-02-08 20:27:56
272,Hamilton,39.1834,-84.5333,37.0,44,90,3.44,US,2021-02-08 20:27:18
273,Flin Flon,54.7682,-101.865,-20.2,57,90,14.97,CA,2021-02-08 20:27:56
274,Meadow Lake,34.8014,-106.5436,66.99,7,20,16.11,US,2021-02-08 20:27:23
275,Chone,-0.6833,-80.1,83.3,70,98,3.44,EC,2021-02-08 20:27:56
276,Manglisi,41.697,44.3845,41.0,87,97,5.75,GE,2021-02-08 20:27:57
277,Boksitogorsk,59.474,33.8485,5.0,85,0,1.99,RU,2021-02-08 20:27:57
278,Havoysund,70.9963,24.6622,24.8,86,90,19.57,NO,2021-02-08 20:27:57
279,Sinnamary,5.3833,-52.95,80.19,75,30,15.21,GF,2021-02-08 20:27:57
280,Pozo Colorado,-23.4923,-58.7972,94.91,23,1,4.38,PY,2021-02-08 20:27:57
281,Zamora,-4.0692,-78.9567,86.0,39,75,3.44,EC,2021-02-08 20:24:54
282,Novyy Urengoy,66.0833,76.6333,-9.96,91,92,7.18,RU,2021-02-08 20:27:57
283,Dudinka,69.4058,86.1778,5.23,94,100,13.98,RU,2021-02-08 20:27:57
284,Katangli,51.7102,143.2326,5.16,94,100,14.83,RU,2021-02-08 20:27:57
285,Adrar,20.5022,-10.0711,65.17,26,0,8.68,MR,2021-02-08 20:27:57
286,Itarema,-2.9248,-39.9167,82.8,74,100,12.5,BR,2021-02-08 20:27:57
287,Zhelyabovka,45.3988,34.7578,44.69,87,100,8.28,UA,2021-02-08 20:27:57
288,Ust-Ishim,57.6935,71.1665,-6.59,91,100,5.46,RU,2021-02-08 20:27:58
289,Emerald,-23.5333,148.1667,78.8,83,90,12.66,AU,2021-02-08 20:27:58
290,Gat,31.61,34.7642,64.0,52,75,5.19,IL,2021-02-08 20:27:01
291,Bethel,41.3712,-73.414,28.0,36,1,4.61,US,2021-02-08 20:27:58
292,Smithers,54.7804,-127.1743,5.0,78,40,11.5,CA,2021-02-08 20:27:58
293,Galle,6.0367,80.217,77.43,85,93,1.41,LK,2021-02-08 20:23:52
294,Mananara,-16.1667,49.7667,78.21,84,69,3.38,MG,2021-02-08 20:27:58
295,Tonantins,-2.8731,-67.8022,83.88,84,100,2.53,BR,2021-02-08 20:27:58
