City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
128,Letlhakane,BW,-21.4167,25.5833,71.26,75,92,8.57,light rain
129,Lithakia,GR,37.7167,20.8333,53.6,87,75,3.44,broken clouds
130,Berlevag,NO,70.8578,29.0864,24.8,58,40,17.27,light snow
131,Ust-Ishim,RU,57.6935,71.1665,-9.83,90,99,4.43,overcast clouds
132,Sayat,TM,38.7839,63.8803,39.2,93,0,4.61,clear sky
133,Martapura,ID,-3.4167,114.85,77.0,94,100,1.14,overcast clouds
134,Springfield,US,37.2153,-93.2982,32.0,93,90,4.61,light intensity drizzle
135,Jamestown,US,42.097,-79.2353,23.0,63,90,8.05,overcast clouds
136,Ilulissat,GL,69.2167,-51.1,24.8,36,0,24.16,clear sky
137,Tuktoyaktuk,CA,69.4541,-133.0374,-40.0,67,1,2.3,mist
138,Hamilton,US,39.1834,-84.5333,36.0,41,90,9.22,overcast clouds
139,Indiana,US,40.0003,-86.2503,26.01,79,90,5.75,overcast clouds
140,Upernavik,GL,72.7868,-56.1549,15.08,78,0,5.41,clear sky
141,Katherine,AU,-14.4667,132.2667,75.2,94,90,5.75,overcast clouds
142,Talnakh,RU,69.4865,88.3972,2.91,91,100,9.84,overcast clouds
143,Brae,GB,60.3964,-1.353,32.52,85,40,13.71,scattered clouds
144,Faya,SA,18.3851,42.4509,50.0,81,40,3.44,scattered clouds
145,Tandil,AR,-37.3217,-59.1332,66.99,62,2,7.0,clear sky
146,Lavrentiya,RU,65.5833,-171.0,-3.82,84,100,10.78,overcast clouds
147,Chokurdakh,RU,70.6333,147.9167,-11.58,85,0,10.74,clear sky
148,Honiara,SB,-9.4333,159.95,79.39,83,100,4.72,moderate rain
149,Mahanoro,MG,-19.9,48.8,77.5,87,84,5.41,light rain
150,Malakal,SS,9.5334,31.6605,74.32,20,23,7.38,few clouds
151,Wajima,JP,37.4,136.9,32.92,91,100,21.03,light snow
152,Khuzhir,RU,53.1939,107.3397,12.07,93,5,4.25,clear sky
153,Nantucket,US,41.2835,-70.0995,25.0,63,1,5.75,clear sky
154,Georgetown,MY,5.4112,100.3354,77.0,88,40,2.3,light rain
155,Haicheng,CN,40.8516,122.7475,19.76,87,0,7.7,clear sky
156,Portland,US,45.5234,-122.6762,46.99,49,90,1.68,overcast clouds
157,Te Anau,NZ,-45.4167,167.7167,57.06,92,100,5.17,light rain
158,Eyl,SO,7.9803,49.8164,74.43,75,63,16.84,broken clouds
159,Conceicao Da Barra,BR,-18.5933,-39.7322,72.54,96,100,4.85,overcast clouds
160,Tucupita,VE,9.0622,-62.051,74.71,94,9,4.81,clear sky
161,Okhotsk,RU,59.3833,143.3,13.93,89,100,13.91,overcast clouds
162,Zimapan,MX,20.75,-99.35,78.13,17,0,3.18,clear sky
163,Bijie,CN,27.3125,105.2942,42.48,79,100,2.08,overcast clouds
164,Nelson Bay,AU,-32.7167,152.15,73.0,73,75,10.36,broken clouds
165,Fare,PF,-16.7,-151.0167,81.73,76,18,11.99,few clouds
166,Sangueya,GN,10.7,-14.3667,71.85,84,18,0.69,few clouds
167,Taoudenni,ML,22.6783,-3.9836,64.38,25,0,10.56,clear sky
168,Namatanai,PG,-3.6667,152.4333,82.8,79,86,6.11,overcast clouds
169,Itoman,JP,26.1247,127.6694,60.8,63,75,13.8,broken clouds
170,Jacareacanga,BR,-6.2222,-57.7528,79.79,83,100,0.49,moderate rain
171,Asosa,ET,10.0667,34.5333,62.13,39,1,4.41,clear sky
172,Dingle,PH,10.9995,122.6711,74.19,95,99,7.96,overcast clouds
173,Nicoya,CR,10.1483,-85.452,89.6,43,0,17.27,clear sky
174,Lata,PT,40.1629,-8.3327,53.6,87,75,6.91,broken clouds
175,Bloomfield,US,40.8068,-74.1854,28.4,37,1,4.61,clear sky
176,Moron,AR,-34.6534,-58.6198,73.0,68,40,12.66,scattered clouds
177,Airai,TL,-8.9266,125.4092,60.96,100,100,2.98,overcast clouds
178,Wynyard,AU,-41.0,145.7167,57.99,54,4,12.1,clear sky
179,Chebsara,RU,59.2002,38.8356,-6.2,92,88,5.73,overcast clouds
180,Cidreira,BR,-30.1811,-50.2056,73.56,74,0,12.26,clear sky
181,Yeppoon,AU,-23.1333,150.7333,78.8,69,75,11.5,broken clouds
182,Tabas,IR,33.5959,56.9244,51.8,54,0,4.61,clear sky
